国家代码,来源,IP数量,平均延迟(ms),平均速度(Mbps)
US,cloudflare,131,39.94,26.22
CA,cloudflare,20,31.23,20.74
JP,backup,1,217.38,19.01
CR,cloudflare,17,44.11,27.24
US,backup,1,18.48,14.84
HK,backup,1,320.84,15.49
